name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Matej Jug,Slovenia,45,28,1,0,2,4
Tobias Stieler,Germany,44,21,1,0,1,4
Sandro Schärer,Switzerland,37,19,0,0,0,4
José María Sánchez Martínez,Spain,42,23,0,0,1,4
Mateu Lahoz,Spain,48,18,0,0,2,4
Maurizio Mariani,Italy,43,11,0,0,1,3
Tiago Martins,Portugal,45,20,1,0,2,3
Sergey Ivanov,Russia,41,10,0,0,2,3
Carlos del Cerro Grande,Spain,49,11,0,0,0,3
Deniz Aytekin,Germany,47,13,0,0,2,3
Artur Soares Dias,Portugal,46,21,1,0,4,3
Felix Zwayer,Germany,44,12,1,1,1,3
Srdjan Jovanovic,Serbia,39,11,1,0,0,3
Marco Guida,Italy,44,10,0,0,4,3
Clément Turpin,France,43,9,0,0,2,3
Benoît Bastien,France,42,9,0,0,0,3
Serdar Gözübüyük,Netherlands,39,14,0,0,2,3
François Letexier,France,36,10,2,1,2,3
Tamás Bognár,Hungary,46,11,2,1,0,2
Irfan Peljto,Bosnia-Herzegovina,41,5,1,0,1,2
John Beaton,Scotland,43,4,0,0,1,2
Andris Treimanis,Latvia,40,5,0,0,0,2
Fran Jovic,Croatia,41,8,0,0,1,2
Ruddy Buquet,France,48,5,0,0,0,2
Kristo Tohver,Estonia,44,13,0,0,0,2
Nikola Dabanovic,Montenegro,43,11,0,0,0,2
Andreas Ekberg,Sweden,40,8,0,0,0,2
Aleksandar Stavrev,North Macedonia,48,10,0,0,0,2
Willie Collum,Scotland,46,13,1,0,0,2
Donatas Rumšas,Lithuania,37,3,0,0,0,2
Harald Lechner,Austria,43,7,0,0,0,2
Ivan Kruzliak,Slovakia,41,17,1,2,0,2
Jakob Kehlet,Denmark,45,7,0,0,2,2
Craig Pawson,England,46,11,2,0,0,2
Pawel Raczkowski,Poland,42,6,0,0,1,2
Marco Di Bello,Italy,44,5,0,0,1,2
Roi Reinshreiber,Israel,45,8,0,0,0,2
Anastasios Sidiropoulos,Greece,46,7,0,0,1,2
Davide Massa,Italy,44,4,0,0,0,2
Glenn Nyberg,Sweden,37,5,0,0,0,2
Halil Umut Meler,Türkiye,39,7,0,0,1,2
Cüneyt Çakır,Türkiye,48,3,0,0,2,2
Anthony Taylor,England,46,6,0,2,2,2
Danny Makkelie,Netherlands,42,4,0,0,1,2
Istvan Kovacs,Romania,41,8,0,0,2,2
Michael Oliver,England,40,7,0,0,1,2
Aliyar Agayev,Azerbaijan,37,4,0,0,0,1
Ali Palabıyık,Türkiye,44,4,1,0,0,1
Yevgen Aranovskyi,Ukraine,49,6,1,0,0,1
Ivan Bebek,Croatia,48,6,0,0,0,1
Alejandro Hernández Hernández,Spain,42,5,0,0,0,1
Jérôme Brisard,France,39,6,1,0,0,1
Stéphanie Frappart,France,41,7,0,1,3,1
Mattias Gestranius,Finland,47,2,0,1,2,1
Bartosz Frankowski,Poland,39,6,0,0,1,1
Kateryna Monzul,Ukraine,44,8,0,0,0,1
Aleksey Kulbakov,Belarus,45,2,0,0,0,1
Lawrence Visser,Belgium,35,4,0,0,2,1
Fábio Veríssimo,Portugal,42,2,0,0,0,1
Georgi Kabakov,Bulgaria,39,4,0,0,0,1
Paul Tierney,England,44,2,0,0,0,1
Radu Petrescu,Romania,42,1,0,0,0,1
Mohammed Al-Hakim,Sweden,40,4,0,0,1,1
Kirill Levnikov,Russia,41,6,0,0,0,1
Daniel Stefanski,Poland,48,5,0,0,1,1
Sergey Karasev,Russia,46,3,0,0,1,1
Ovidiu Hațegan,Romania,45,4,0,0,0,1
Daniele Orsato,Italy,49,7,0,0,0,1
Jesús Gil Manzano,Spain,41,8,0,1,0,1
Slavko Vincic,Slovenia,45,2,0,0,0,1
