name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Matej Jug,Slovenia,45,28,2,1,4,6
Lawrence Visser,Belgium,35,29,3,0,0,5
Simone Sozza,Italy,38,27,0,0,1,5
Sandro Schärer,Switzerland,37,18,2,0,2,4
Chris Kavanagh,England,40,29,0,1,2,4
Sebastian Gishamer,Austria,37,18,1,0,1,4
John Beaton,Scotland,43,24,0,0,3,4
Marian Barbu,Romania,37,13,0,0,0,4
Irfan Peljto,Bosnia-Herzegovina,41,15,1,0,1,4
Juxhin Xhaja,Albania,35,19,0,1,1,4
Sascha Stegemann,Germany,40,33,2,0,2,4
Jérôme Brisard,France,39,17,0,0,2,4
Morten Krogh,Denmark,37,13,0,0,2,4
Giorgi Kruashvili,Georgia,39,10,0,0,0,4
Luís Godinho,Portugal,39,13,0,0,0,4
Nenad Minakovic,Serbia,36,12,1,0,1,4
Filip Glova,Slovakia,37,21,0,1,0,4
Daniel Siebert,Germany,41,18,1,1,0,3
Tobias Stieler,Germany,44,14,2,0,0,3
Clément Turpin,France,43,12,0,1,1,3
Aleksandar Stavrev,North Macedonia,48,6,0,0,0,3
Damian Sylwestrzak,Poland,33,16,0,0,0,3
Harm Osmers,Germany,40,16,0,0,1,3
Andris Treimanis,Latvia,40,29,1,0,1,3
Anastasios Sidiropoulos,Greece,46,10,0,3,0,3
De Burgos Bengoetxea,Spain,39,8,0,0,1,3
Nikola Dabanovic,Montenegro,43,8,0,1,0,3
Alejandro Hernández Hernández,Spain,42,8,0,0,1,3
Kristo Tohver,Estonia,44,18,0,0,2,3
John Brooks,England,0,9,0,0,0,3
Orel Grinfeld,Israel,44,15,1,0,1,3
Anastasios Papapetrou,Greece,40,14,0,0,0,3
Julian Weinberger,Austria,40,13,1,0,2,3
Igor Pajac,Croatia,40,5,0,0,0,3
Rade Obrenovic,Slovenia,35,5,0,0,0,2
Serdar Gözübüyük,Netherlands,39,8,0,1,3,2
Georgi Kabakov,Bulgaria,39,15,0,0,0,2
Radu Petrescu,Romania,42,9,0,0,0,2
Sven Jablonski,Germany,35,10,0,0,0,2
Mykola Balakin,Ukraine,36,2,0,0,0,2
Allard Lindhout,Netherlands,38,8,0,0,1,2
Duje Strukan,Croatia,41,8,0,0,0,2
Horațiu Feșnic,Romania,35,12,1,0,1,2
Glenn Nyberg,Sweden,37,8,0,0,1,2
Benoît Bastien,France,42,14,1,2,4,2
Nick Walsh,Scotland,34,16,4,2,1,2
Ondrej Berka,Czech Republic,37,11,0,0,0,2
Balázs Berke,Hungary,41,7,1,1,0,2
Szymon Marciniak,Poland,44,8,0,0,0,2
Mohammed Al-Hakim,Sweden,40,9,0,1,0,2
António Nobre,Portugal,36,4,0,0,1,2
Ivan Kruzliak,Slovakia,41,8,0,0,1,2
Tamás Bognár,Hungary,46,9,0,0,2,2
Donatas Rumšas,Lithuania,37,7,0,2,0,2
João Pinheiro,Portugal,37,5,1,0,1,2
Anthony Taylor,England,46,1,0,0,0,2
Felix Zwayer,Germany,44,13,0,1,1,2
Espen Eskås,Norway,37,17,0,1,1,2
Erik Lambrechts,Belgium,41,1,0,0,0,1
Marco Di Bello,Italy,44,7,0,0,0,1
Enea Jorgji,Albania,41,3,0,0,0,1
Manfredas Lukjančukas,Lithuania,33,4,1,0,1,1
Willy Delajod,France,33,2,0,1,0,1
Craig Pawson,England,46,1,0,0,1,1
Jesús Gil Manzano,Spain,41,4,0,0,0,1
Guillermo Cuadra Fernández,Spain,41,6,0,0,1,1
Urs Schnyder,Switzerland,39,5,1,0,0,1
Rohit Saggi,Norway,33,6,1,0,0,1
Aliyar Agayev,Azerbaijan,37,3,0,0,2,1
François Letexier,France,36,6,0,1,0,1
Danny Makkelie,Netherlands,42,4,0,0,0,1
Michael Oliver,England,40,3,0,0,0,1
Istvan Kovacs,Romania,41,3,0,1,1,1
Davide Massa,Italy,44,6,0,0,1,1
José María Sánchez Martínez,Spain,42,3,0,0,1,1
Maurizio Mariani,Italy,43,3,0,0,0,1
