name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Damian Sylwestrzak,Poland,33,16,0,0,0,3
Sven Jablonski,Germany,35,14,0,0,0,3
Oleg Orekhov,Ukraine,58,3,0,0,1,2
Nikolay Ivanov,Russia,61,5,0,0,0,2
Espen Berntsen,Norway,58,6,0,0,0,2
Cyril Zimmermann,Switzerland,49,2,0,0,0,2
Nicolai Vollquartz,Denmark,60,2,0,0,0,2
Thorsten Kinhöfer,Germany,57,4,0,0,0,2
Stanislav Sukhina,Russia,57,7,0,0,0,2
Howard Webb,England,54,9,2,1,0,2
Stuart Attwell,England,43,17,1,0,0,2
Emir Aleckovic,Bosnia-Herzegovina,46,7,0,0,0,2
Artem Kuchin,Kazakhstan,47,9,0,0,1,2
Marius Avram,Romania,46,9,0,0,0,2
Christian Dingert,Germany,45,10,0,1,2,2
Adrien Jaccottet,Switzerland,42,11,0,0,2,2
Jonathan Lardot,Belgium,41,9,1,0,1,2
Jens Maae,Denmark,43,1,0,0,0,2
Dennis Higler,Netherlands,40,7,0,0,0,2
Vilhjálmur Alvar Thórarinsson,Iceland,40,7,0,0,0,2
Kirill Levnikov,Russia,41,10,0,0,0,2
Paul Tierney,England,44,6,0,0,0,2
Kateryna Monzul,Ukraine,44,17,0,0,0,2
Fabio Maresca,Italy,44,10,0,1,1,2
Atilla Karaoğlan,Türkiye,39,12,0,0,2,2
Ondrej Berka,Czech Republic,37,11,0,0,0,2
Balázs Berke,Hungary,41,7,1,1,0,2
Guillermo Cuadra Fernández,Spain,41,11,0,0,2,2
Matteo Trefoloni,Italy,54,3,0,0,0,1
Lucílio Baptista,Portugal,60,3,0,0,0,1
Georgios Daloukas,Greece,47,2,0,0,0,1
Jiri Jech,Czech Republic,49,4,0,0,1,1
José Antonio Teixeira Vitienes,Spain,55,3,0,0,0,1
Anton Genov,Bulgaria,59,3,0,0,0,1
Paolo Valeri,Italy,47,7,1,0,0,1
Rene Eisner,Austria,50,5,0,0,0,1
Ilias Spathas,Greece,45,2,0,0,0,1
Sergey Lapochkin,Russia,44,4,0,0,0,1
Hugo Miguel,Portugal,48,1,0,0,0,1
Mete Kalkavan,Türkiye,46,6,1,0,0,1
Charalampos Kalogeropoulos,Greece,42,1,0,0,0,1
Peter Kralovic,Slovakia,42,2,0,0,0,1
Alain Bieri,Switzerland,46,3,0,0,0,1
Ville Nevalainen,Finland,40,3,0,0,0,1
Juan Martínez Munuera,Spain,43,6,0,0,0,1
Benoît Millot,France,43,5,1,0,1,1
Ivaylo Stoyanov,Bulgaria,44,5,0,0,0,1
Ádám Farkas,Hungary,43,6,0,0,0,1
Dumitru Muntean,Moldova,40,3,0,0,1,1
Karim Abed,France,36,3,0,0,0,1
Alain Durieux,Luxembourg,40,5,0,0,0,1
Robert Harvey,Ireland,37,7,0,0,1,1
Massimiliano Irrati,Italy,46,5,0,0,0,1
Petri Viljanen,Finland,38,1,0,0,1,1
Trustin Farrugia Cann,Malta,39,7,0,0,2,1
Michael Fabbri,Italy,41,6,0,0,0,1
Rob Hennessy,Ireland,34,3,0,0,1,1
Amaury Delerue,France,48,4,1,0,0,1
Bojan Pandzic,Sweden,43,4,0,0,1,1
Novak Simovic,Serbia,43,5,0,0,0,1
Christian-Petru Ciochirca,Austria,36,6,0,0,1,1
Robert Jones,England,38,2,0,0,0,1
Don Robertson,Scotland,38,2,0,0,0,1
Vasilios Fotias,Greece,36,1,0,0,0,1
Sander van der Eijk,Netherlands,34,5,1,0,0,1
