name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Daniele Orsato,Italy,49,33,1,0,1,7
Istvan Kovacs,Romania,41,33,0,1,3,6
Slavko Vincic,Slovenia,45,23,0,0,0,6
Danny Makkelie,Netherlands,42,24,0,0,0,6
Glenn Nyberg,Sweden,37,11,0,0,2,5
Marco Guida,Italy,44,17,0,0,1,5
Clément Turpin,France,43,20,0,1,3,5
François Letexier,France,36,15,0,1,2,5
Anthony Taylor,England,46,19,1,0,0,5
Szymon Marciniak,Poland,44,25,0,0,1,5
Davide Massa,Italy,44,18,1,1,1,4
José María Sánchez Martínez,Spain,42,18,0,0,0,4
Felix Zwayer,Germany,44,22,1,0,3,4
Serdar Gözübüyük,Netherlands,39,22,0,0,1,4
Irfan Peljto,Bosnia-Herzegovina,41,14,1,1,1,4
Espen Eskås,Norway,37,7,0,0,0,3
Ivan Kruzliak,Slovakia,41,12,1,1,0,3
Tobias Stieler,Germany,44,20,0,0,1,3
Artur Soares Dias,Portugal,46,8,0,0,1,3
Halil Umut Meler,Türkiye,39,15,0,1,2,3
Michael Oliver,England,40,13,0,0,0,3
Donatas Rumšas,Lithuania,37,8,0,1,2,2
Daniel Siebert,Germany,41,15,1,0,0,2
Radu Petrescu,Romania,42,8,0,0,0,2
Rade Obrenovic,Slovenia,35,10,0,0,1,2
Srdjan Jovanovic,Serbia,39,9,0,0,1,2
Bartosz Frankowski,Poland,39,10,1,0,0,2
Benoît Bastien,France,42,11,0,0,1,2
Jesús Gil Manzano,Spain,41,9,0,0,1,2
António Nobre,Portugal,36,4,0,0,0,1
Orel Grinfeld,Israel,44,4,0,0,0,1
Georgi Kabakov,Bulgaria,39,6,1,0,0,1
Andris Treimanis,Latvia,40,3,0,1,1,1
Sandro Schärer,Switzerland,37,5,0,0,0,1
Mykola Balakin,Ukraine,36,2,0,0,0,1
Alejandro Hernández Hernández,Spain,42,1,0,0,0,1
João Pinheiro,Portugal,37,4,0,0,0,1
Erik Lambrechts,Belgium,41,3,1,0,1,1
Manfredas Lukjančukas,Lithuania,33,5,0,0,0,1
Aliyar Agayev,Azerbaijan,37,4,0,0,1,1
Willie Collum,Scotland,46,9,0,0,1,1
Morten Krogh,Denmark,37,2,0,0,1,1
Enea Jorgji,Albania,41,7,0,0,0,1
Stéphanie Frappart,France,41,3,0,0,0,1
Maurizio Mariani,Italy,43,5,0,1,1,1
