name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Szymon Marciniak,Poland,44,33,2,0,4,8
Clément Turpin,France,43,29,1,0,3,6
Daniele Orsato,Italy,49,19,0,0,1,6
Michael Oliver,England,40,26,1,0,4,6
Jesús Gil Manzano,Spain,41,29,0,0,1,6
Slavko Vincic,Slovenia,45,23,0,1,2,5
Anthony Taylor,England,46,23,1,0,3,5
Danny Makkelie,Netherlands,42,24,1,0,1,5
Istvan Kovacs,Romania,41,25,1,0,3,5
Sandro Schärer,Switzerland,37,16,0,1,0,5
Srdjan Jovanovic,Serbia,39,20,1,0,1,5
Felix Zwayer,Germany,44,23,0,0,3,4
Carlos del Cerro Grande,Spain,49,16,1,0,3,4
Davide Massa,Italy,44,13,0,1,2,4
François Letexier,France,36,15,1,1,0,4
Artur Soares Dias,Portugal,46,13,0,2,2,4
Tobias Stieler,Germany,44,7,0,0,0,3
Halil Umut Meler,Türkiye,39,11,0,0,1,3
Mateu Lahoz,Spain,48,11,1,0,2,3
Maurizio Mariani,Italy,43,14,0,0,0,3
Ivan Kruzliak,Slovakia,41,12,0,0,0,3
Orel Grinfeld,Israel,44,7,0,0,0,3
José María Sánchez Martínez,Spain,42,2,0,0,0,2
Glenn Nyberg,Sweden,37,4,0,0,1,2
Irfan Peljto,Bosnia-Herzegovina,41,9,0,0,0,2
Andreas Ekberg,Sweden,40,5,0,0,0,2
Daniel Siebert,Germany,41,13,0,1,1,2
Serdar Gözübüyük,Netherlands,39,5,0,0,0,2
Anastasios Sidiropoulos,Greece,46,6,0,0,1,1
Nikola Dabanovic,Montenegro,43,1,0,0,0,1
Radu Petrescu,Romania,42,4,0,0,1,1
Lawrence Visser,Belgium,35,4,0,0,0,1
Bartosz Frankowski,Poland,39,3,0,0,0,1
Alejandro Hernández Hernández,Spain,42,6,2,0,1,1
Andris Treimanis,Latvia,40,3,0,0,1,1
João Pinheiro,Portugal,37,5,0,0,0,1
Espen Eskås,Norway,37,2,0,0,0,1
Stéphanie Frappart,France,41,2,0,0,3,1
Donatas Rumšas,Lithuania,37,1,0,0,1,1
Benoît Bastien,France,42,4,0,1,0,1
Aliyar Agayev,Azerbaijan,37,4,0,0,0,1
