name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Szymon Marciniak,Poland,44,27,0,0,4,8
Slavko Vincic,Slovenia,45,32,1,0,1,8
Clément Turpin,France,43,18,1,3,3,7
Danny Makkelie,Netherlands,42,28,2,1,0,6
Ovidiu Hațegan,Romania,45,31,0,1,0,6
Daniele Orsato,Italy,49,37,1,0,3,6
Daniel Siebert,Germany,41,20,1,1,1,5
Istvan Kovacs,Romania,41,23,0,0,3,5
Dr. Felix Brych,Germany,50,16,0,1,0,5
Jesús Gil Manzano,Spain,41,14,0,0,1,5
Anthony Taylor,England,46,17,0,0,0,4
Serdar Gözübüyük,Netherlands,39,13,1,0,1,4
Sergey Karasev,Russia,46,9,1,0,1,4
Srdjan Jovanovic,Serbia,39,10,0,0,0,4
Michael Oliver,England,40,13,0,1,1,4
François Letexier,France,36,9,0,2,3,3
Sandro Schärer,Switzerland,37,12,0,1,0,3
Mateu Lahoz,Spain,48,12,1,0,0,3
Carlos del Cerro Grande,Spain,49,15,0,1,1,3
Benoît Bastien,France,42,6,0,0,0,3
Felix Zwayer,Germany,44,17,0,0,0,3
Halil Umut Meler,Türkiye,39,12,0,0,2,3
Davide Massa,Italy,44,11,0,0,3,3
Artur Soares Dias,Portugal,46,7,0,0,1,2
Deniz Aytekin,Germany,47,5,0,0,0,2
Cüneyt Çakır,Türkiye,48,10,1,0,1,2
Marco Guida,Italy,44,7,0,0,2,2
Irfan Peljto,Bosnia-Herzegovina,41,6,0,0,1,2
Aleksey Kulbakov,Belarus,45,9,1,0,2,1
Bartosz Frankowski,Poland,39,2,0,0,0,1
José María Sánchez Martínez,Spain,42,6,0,0,0,1
Lawrence Visser,Belgium,35,6,0,0,1,1
Georgi Kabakov,Bulgaria,39,9,1,0,1,1
Anastasios Sidiropoulos,Greece,46,2,0,1,0,1
Alejandro Hernández Hernández,Spain,42,3,0,0,1,1
Andreas Ekberg,Sweden,40,9,0,0,2,1
Andris Treimanis,Latvia,40,7,1,0,2,1
Donatas Rumšas,Lithuania,37,4,0,0,0,1
