name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Anastasios Sidiropoulos,Greece,46,20,1,1,2,3
Harm Osmers,Germany,40,14,0,0,1,3
Aleksandar Stavrev,North Macedonia,48,11,0,1,0,3
Orel Grinfeld,Israel,44,10,1,1,0,3
Joey Kooij,Netherlands,33,14,0,0,2,2
António Nobre,Portugal,36,9,2,1,4,2
Gergő Bogár,Hungary,34,9,0,0,0,2
Sven Jablonski,Germany,35,11,0,0,0,2
Vangelis Manouchos,Greece,36,9,0,0,0,2
Jesús Gil Manzano,Spain,41,7,0,1,0,2
Vitalijs Spasjonnikovs,Latvia,39,7,0,0,1,2
John Beaton,Scotland,43,7,1,0,1,2
Pawel Raczkowski,Poland,42,12,0,2,2,2
De Burgos Bengoetxea,Spain,39,8,0,0,2,2
Damian Sylwestrzak,Poland,33,10,1,0,0,2
Balázs Berke,Hungary,41,7,0,0,0,2
Marian Barbu,Romania,37,6,0,0,1,2
Aleksey Kulbakov,Belarus,45,12,0,0,0,2
Ondrej Berka,Czech Republic,37,14,0,0,0,2
Nenad Minakovic,Serbia,36,5,0,1,0,2
David Smajc,Slovenia,36,6,0,0,0,2
Ovidiu Hațegan,Romania,45,13,0,0,0,2
Luís Godinho,Portugal,39,3,0,0,0,2
Urs Schnyder,Switzerland,39,7,0,0,0,2
Guillermo Cuadra Fernández,Spain,41,14,0,0,1,2
Chrysovalantis Theouli,Cyprus,36,4,0,1,1,2
Mohammed Al-Emara,Finland,33,13,1,0,1,2
Juxhin Xhaja,Albania,35,7,0,0,2,2
Genc Nuza,Kosovo,36,9,0,0,0,2
Filip Glova,Slovakia,37,5,0,0,1,2
Craig Pawson,England,46,11,1,0,0,2
Enea Jorgji,Albania,41,12,2,0,0,2
Willie Collum,Scotland,46,12,0,0,0,2
Aliyar Agayev,Azerbaijan,37,11,0,0,0,2
Espen Eskås,Norway,37,9,0,0,0,2
Matej Jug,Slovenia,45,3,1,0,0,2
Arda Kardeşler,Türkiye,37,2,0,1,0,1
Christian-Petru Ciochirca,Austria,36,5,0,0,0,1
Philip Farrugia,Malta,37,5,1,0,0,1
Elchin Masiyev,Azerbaijan,34,3,0,0,0,1
Kristo Tohver,Estonia,44,7,0,0,0,1
Abdulkadir Bitigen,Türkiye,41,6,0,0,1,1
Robertas Valikonis,Lithuania,42,2,0,0,1,1
Lukas Fähndrich,Switzerland,41,5,0,0,0,1
Daniele Chiffi,Italy,40,2,0,0,0,1
Tomas Klima,Czech Republic,37,8,0,0,0,1
Julian Weinberger,Austria,40,5,0,0,1,1
Luka Bilbija,Bosnia-Herzegovina,36,5,1,0,0,1
Willy Delajod,France,33,3,0,0,0,1
Gustavo Correia,Portugal,33,7,0,0,0,1
Atilla Karaoğlan,Türkiye,39,5,0,0,0,1
Vasilios Fotias,Greece,36,6,0,0,0,1
Anastasios Papapetrou,Greece,40,6,0,0,1,1
Tamás Bognár,Hungary,46,7,0,0,1,1
Dario Bel,Croatia,37,8,0,0,0,1
Sander van der Eijk,Netherlands,34,4,1,0,0,1
David Fucsman,Israel,34,2,1,0,0,1
Robert Jones,England,38,5,0,0,1,1
Oleksiy Derevinskyi,Ukraine,36,2,0,0,1,1
Marco Di Bello,Italy,44,8,0,0,0,1
Harald Lechner,Austria,43,0,0,1,0,1
Don Robertson,Scotland,38,5,0,0,0,1
Andrei Chivulete,Romania,38,5,0,0,0,1
Daniel Schlager,Germany,35,6,0,0,0,1
Stéphanie Frappart,France,41,3,0,0,0,1
Trustin Farrugia Cann,Malta,39,4,0,1,1,1
Robert Schröder,Germany,40,6,0,0,1,1
Adam Ladebäck,Sweden,33,2,0,0,1,1
Viktor Kopiyevskyi,Ukraine,34,4,0,0,1,1
Simone Sozza,Italy,38,2,0,2,0,1
Giorgi Kruashvili,Georgia,39,2,0,0,1,1
Pierre Gaillouste,France,36,1,0,0,0,1
Miguel Nogueira,Portugal,31,1,0,0,0,1
Sebastian Gishamer,Austria,37,3,0,0,1,1
Daniel Stefanski,Poland,48,1,0,0,0,1
Sascha Stegemann,Germany,40,3,0,0,0,1
Allard Lindhout,Netherlands,38,5,0,0,0,1
Jérémie Pignard,France,38,1,0,0,0,1
Luca Pairetto,Italy,41,4,0,1,0,1
Mohammed Al-Hakim,Sweden,40,3,0,1,1,1
Mykola Balakin,Ukraine,36,5,0,0,1,1
Glenn Nyberg,Sweden,37,5,0,0,0,1
Clément Turpin,France,43,2,0,0,1,1
Morten Krogh,Denmark,37,5,0,0,0,1
João Pinheiro,Portugal,37,4,0,0,1,1
Bartosz Frankowski,Poland,39,2,0,0,0,1
Donatas Rumšas,Lithuania,37,4,1,0,0,1
Radu Petrescu,Romania,42,2,0,0,0,1
Nikola Dabanovic,Montenegro,43,3,0,0,0,1
Irfan Peljto,Bosnia-Herzegovina,41,3,0,0,0,1
Maurizio Mariani,Italy,43,4,0,0,1,1
Daniel Siebert,Germany,41,6,0,0,1,1
Sandro Schärer,Switzerland,37,4,0,0,1,1
Ivan Kruzliak,Slovakia,41,10,0,0,0,1
Davide Massa,Italy,44,0,0,0,0,1
Tobias Stieler,Germany,44,7,1,0,0,1
Marco Guida,Italy,44,2,0,0,1,1
Michael Oliver,England,40,4,1,0,1,1
Felix Zwayer,Germany,44,6,0,0,0,1
Halil Umut Meler,Türkiye,39,10,1,0,1,1
Artur Soares Dias,Portugal,46,7,0,0,0,1
