name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Nikola Dabanovic,Montenegro,43,19,0,0,1,3
Radoslav Gidzhenov,Bulgaria,34,11,1,0,0,3
Sebastian Gishamer,Austria,37,19,2,0,0,3
António Nobre,Portugal,36,7,0,1,1,3
Allard Lindhout,Netherlands,38,16,0,0,1,3
Serdar Gözübüyük,Netherlands,39,13,1,0,1,3
John Beaton,Scotland,43,22,1,0,1,3
Adam Ladebäck,Sweden,33,9,0,1,0,2
Genc Nuza,Kosovo,36,12,0,0,1,2
Oliver Reitala,Finland,31,6,0,0,1,2
Sander van der Eijk,Netherlands,34,5,1,0,0,2
Atilla Karaoğlan,Türkiye,39,9,0,0,1,2
Robert Jones,England,38,12,0,0,0,2
Lothar D'hondt,Belgium,31,5,0,0,0,2
Milos Milanovic,Serbia,32,2,0,0,0,2
Daniel Schlager,Germany,35,6,0,1,0,2
David Dickinson,Scotland,45,10,0,1,0,2
Pawel Raczkowski,Poland,42,7,0,0,2,2
Jérémie Pignard,France,38,9,1,0,0,2
Damian Sylwestrzak,Poland,33,9,0,1,0,2
Michal Ocenas,Slovakia,34,9,0,0,1,2
Mohammed Al-Hakim,Sweden,40,4,0,0,0,2
Enea Jorgji,Albania,41,13,0,0,1,2
Elchin Masiyev,Azerbaijan,34,9,0,0,0,2
Willy Delajod,France,33,8,0,0,1,2
Horațiu Feșnic,Romania,35,5,0,0,0,2
Andris Treimanis,Latvia,40,14,0,2,1,2
Radu Petrescu,Romania,42,6,0,1,1,2
Anastasios Sidiropoulos,Greece,46,11,2,0,1,2
Clément Turpin,France,43,8,0,0,0,2
Anthony Taylor,England,46,9,0,2,1,2
João Pinheiro,Portugal,37,5,0,0,0,2
Marco Guida,Italy,44,4,0,0,0,1
Goga Kikacheishvili,Georgia,34,5,0,0,0,1
Tamás Bognár,Hungary,46,2,0,0,0,1
Ashot Ghaltakhchyan,Armenia,33,4,0,0,1,1
Sven Jablonski,Germany,35,1,0,0,0,1
Daniel Stefanski,Poland,48,3,0,0,0,1
Henrik Nalbandyan,Armenia,30,5,0,1,1,1
Antoni Bandic,Bosnia-Herzegovina,35,1,0,0,0,1
Mikkel Redder,Denmark,31,3,0,0,1,1
Menelaos Antoniou,Cyprus,30,2,0,0,0,1
Chrysovalantis Theouli,Cyprus,36,2,0,0,1,1
Jasper Vergoote,Belgium,33,2,0,0,0,1
Don Robertson,Scotland,38,2,0,0,0,1
Philip Farrugia,Malta,37,5,0,0,0,1
Juri Frischer,Estonia,41,0,0,0,1,1
Daniele Chiffi,Italy,40,6,0,0,0,1
Yigal Frid,Israel,33,6,0,0,0,1
Nick Walsh,Scotland,34,9,0,0,0,1
François Letexier,France,36,7,0,0,0,1
Visar Kastrati,Kosovo,38,3,0,0,0,1
Dario Bel,Croatia,37,3,0,1,0,1
Sayat Karabaev,Kazakhstan,32,7,0,1,1,1
Luís Godinho,Portugal,39,7,0,0,0,1
Daniyar Sakhi,Kazakhstan,34,3,0,0,0,1
Nenad Minakovic,Serbia,36,8,0,0,0,1
Luka Bilbija,Bosnia-Herzegovina,36,7,1,0,0,1
Vitalijs Spasjonnikovs,Latvia,39,2,0,0,0,1
Jan Petrik,Czech Republic,33,3,0,0,0,1
Juxhin Xhaja,Albania,35,5,0,0,0,1
István Vad,Hungary,50,4,0,0,0,1
Arda Kardeşler,Türkiye,37,3,0,0,1,1
Donatas Rumšas,Lithuania,37,2,0,0,0,1
Rob Hennessy,Ireland,34,6,0,0,1,1
Luca Pairetto,Italy,41,8,0,0,0,1
Juan Martínez Munuera,Spain,43,8,1,0,0,1
Joey Kooij,Netherlands,33,9,0,0,0,1
Andrea Colombo,Italy,35,3,0,0,1,1
Robert Harvey,Ireland,37,7,0,0,0,1
Oleksiy Derevinskyi,Ukraine,36,7,0,0,0,1
Lukas Fähndrich,Switzerland,41,4,0,0,0,1
David Smajc,Slovenia,36,7,0,0,0,1
Igor Pajac,Croatia,40,7,0,0,0,1
Javier Alberola Rojas,Spain,0,5,0,0,0,1
Christian-Petru Ciochirca,Austria,36,2,0,0,1,1
Bulat Sariev,Kazakhstan,34,4,0,0,0,1
Mohammed Al-Emara,Finland,33,6,1,0,1,1
Snir Levi,Israel,0,2,0,0,0,1
