name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Kristoffer Karlsson,Sweden,0,4,0,0,0,1
Krzysztof Jakubik,Poland,42,6,0,0,0,2
Kári Jóannesarson á Hövdanum,Faroe Islands,35,4,0,0,0,1
Lawrence Visser,Belgium,35,12,1,1,0,3
Lothar D'hondt,Belgium,31,5,0,0,0,2
Luca Pairetto,Italy,41,12,0,1,0,2
Luka Bilbija,Bosnia-Herzegovina,36,12,2,0,0,2
Lukas Fähndrich,Switzerland,41,9,0,0,0,2
Luís Godinho,Portugal,39,30,0,0,2,7
Mads-Kristoffer Kristoffersen,Denmark,42,4,0,0,0,1
Manfredas Lukjančukas,Lithuania,33,18,1,0,1,3
Manuel Schüttengruber,Austria,42,27,0,1,1,4
Marco Di Bello,Italy,44,18,2,1,0,3
Marco Guida,Italy,44,6,0,0,1,2
Marian Barbu,Romania,37,17,0,0,2,4
Matej Jug,Slovenia,45,12,3,0,0,4
Mateu Lahoz,Spain,48,5,0,0,0,1
Mattias Gestranius,Finland,47,10,0,1,0,1
Maurizio Mariani,Italy,43,11,0,0,1,3
Menelaos Antoniou,Cyprus,30,2,0,0,0,1
Michael Fabbri,Italy,41,4,0,0,1,1
Michael Oliver,England,40,14,1,0,1,3
Michal Ocenas,Slovakia,34,15,0,0,1,3
Miguel Nogueira,Portugal,31,1,0,0,0,1
Mikkel Redder,Denmark,31,3,0,0,1,1
Milos Milanovic,Serbia,32,8,0,0,0,3
Mohammed Al-Emara,Finland,33,19,2,0,2,3
Mohammed Al-Hakim,Sweden,40,16,0,1,1,6
Morten Krogh,Denmark,37,29,1,0,1,5
Mykola Balakin,Ukraine,36,23,1,0,3,5
Nathan Verboomen,Belgium,37,1,0,0,0,1
Nenad Minakovic,Serbia,36,13,0,1,0,3
Nick Walsh,Scotland,34,30,0,1,0,6
Nikola Dabanovic,Montenegro,43,37,0,1,2,8
Novak Simovic,Serbia,43,9,0,0,0,2
Oleksiy Derevinskyi,Ukraine,36,9,0,0,1,2
Oliver Reitala,Finland,31,6,0,0,1,2
Ondrej Berka,Czech Republic,37,19,0,0,1,3
Orel Grinfeld,Israel,44,16,2,2,1,6
Ovidiu Hațegan,Romania,45,13,0,0,0,2
Patrik Kolaric,Croatia,30,4,0,0,0,1
Pavel Orel,Czech Republic,37,7,0,0,2,2
Pawel Raczkowski,Poland,42,38,1,3,5,7
Peter Kjærsgaard,Denmark,41,12,0,0,1,2
Petri Viljanen,Finland,38,8,0,0,0,2
Philip Farrugia,Malta,37,12,1,0,0,3
Pierre Gaillouste,France,36,1,0,0,0,1
Rade Obrenovic,Slovenia,35,36,0,0,2,7
Radoslav Gidzhenov,Bulgaria,34,11,1,0,0,3
Radu Petrescu,Romania,42,25,1,1,1,7
Rauf Cabarov,Azerbaijan,40,3,0,0,0,1
Rob Hennessy,Ireland,34,6,0,0,1,1
Robert Harvey,Ireland,37,19,0,1,0,4
Robert Jones,England,38,17,0,0,1,3
Robert Schröder,Germany,40,6,0,0,1,1
Robertas Valikonis,Lithuania,42,2,0,0,1,1
Rohit Saggi,Norway,33,15,0,0,2,4
Roi Reinshreiber,Israel,45,8,0,0,0,1
Ruddy Buquet,France,48,3,0,0,1,1
Sander van der Eijk,Netherlands,34,9,2,0,0,3
Sandro Schärer,Switzerland,37,15,0,0,1,3
Sascha Stegemann,Germany,40,6,0,0,0,2
Sayat Karabaev,Kazakhstan,32,7,0,1,1,1
Sebastian Gishamer,Austria,37,31,2,0,2,6
Serdar Gözübüyük,Netherlands,39,23,1,0,1,5
Sergey Ivanov,Russia,41,4,0,0,0,1
Sergiy Boyko,Ukraine,48,10,0,0,2,2
Sigurd Kringstad,Norway,37,3,0,0,0,1
Simone Sozza,Italy,38,7,0,2,2,2
Snir Levi,Israel,0,2,0,0,0,1
Srdjan Jovanovic,Serbia,39,4,0,0,0,1
Stefan Ebner,Austria,34,4,0,0,0,1
Stuart Attwell,England,43,3,0,0,1,1
Stéphanie Frappart,France,41,9,0,0,2,3
Sven Jablonski,Germany,35,12,0,0,0,3
Szymon Marciniak,Poland,44,5,1,0,0,1
Tamás Bognár,Hungary,46,13,0,0,1,3
Tobias Stieler,Germany,44,11,1,0,0,2
Tomas Klima,Czech Republic,37,8,0,0,0,1
Trustin Farrugia Cann,Malta,39,7,0,1,1,3
Urs Schnyder,Switzerland,39,24,0,0,0,5
Vangelis Manouchos,Greece,36,9,0,0,0,2
Vasilios Fotias,Greece,36,9,0,0,0,2
Viktor Kopiyevskyi,Ukraine,34,4,0,0,1,1
Vilhjálmur Alvar Thórarinsson,Iceland,40,4,0,0,0,1
Visar Kastrati,Kosovo,38,6,0,0,0,2
Vitalijs Spasjonnikovs,Latvia,39,9,0,0,1,3
Vitaliy Meshkov,Russia,42,4,0,0,0,1
Volen Chinkov,Bulgaria,41,2,0,0,1,1
Willie Collum,Scotland,46,29,0,0,1,5
Willy Delajod,France,33,19,0,1,2,5
Yevgen Aranovskyi,Ukraine,49,8,0,0,2,2
Yigal Frid,Israel,33,14,0,0,1,4
Ádám Farkas,Hungary,43,11,0,0,0,2
Ívar Orri Kristjánsson,Iceland,36,3,0,0,0,1
