name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Espen Eskås,Norway,37,33,1,0,3,12
Ion Craciunescu,Romania,75,42,1,0,0,11
Bernd Heynemann,Germany,71,33,1,1,3,11
Mario van der Ende,Netherlands,69,41,1,1,0,11
Vaclav Krondl,Czech Republic,72,48,1,0,1,11
Piero Ceccarini,Italy,71,31,0,0,3,11
Alfredo Trentalange,Italy,68,35,1,3,6,11
Juan Antonio Fernández Marín,Spain,67,43,1,0,6,11
Stuart Dougal,Scotland,62,30,1,2,1,11
Paul Allaerts,Belgium,61,23,1,0,2,10
Steve Bennett,England,64,42,4,2,3,10
Ruddy Buquet,France,48,40,2,0,3,10
Georgi Kabakov,Bulgaria,39,45,3,0,1,10
Leslie Irvine,Northern Ireland,67,14,0,1,0,9
Leslie Mottram,Scotland,74,27,0,2,2,9
Vadim Zhuk,Belarus,73,25,1,2,2,9
Leif Sundell,Sweden,67,20,0,0,1,9
Marc Batta,France,71,24,0,0,1,9
Hartmut Strampe,Germany,69,28,2,0,3,9
Stéphane Bré,France,59,26,0,1,1,9
Gerd Grabher,Austria,71,26,0,1,1,8
Atanas Uzunov,Bulgaria,0,31,0,2,2,8
Graziano Cesari,Italy,68,23,0,1,0,8
Eduardo Iturralde González,Spain,58,28,1,0,2,8
Jorge Sousa,Portugal,50,27,0,2,4,8
Andreas Ekberg,Sweden,40,34,2,0,4,8
Donatas Rumšas,Lithuania,37,27,1,2,3,8
Kurt Röthlisberger,Switzerland,74,20,0,1,0,7
Ahmet Çakar,Türkiye,63,17,1,1,0,7
Matteo Trefoloni,Italy,54,28,0,2,2,7
Tom Harald Hagen,Norway,49,32,0,0,3,7
João Pinheiro,Portugal,37,24,0,0,1,7
Rade Obrenovic,Slovenia,35,36,1,0,1,7
Peter Mikkelsen,Denmark,0,14,0,0,0,6
Guy Goethals,Belgium,72,15,0,0,0,6
Vladimir Hrinak,Slovakia,0,19,0,1,0,6
István Vad,Hungary,50,21,0,0,3,6
Manuel Gräfe,Germany,52,26,0,1,1,6
Aleksandar Stavrev,North Macedonia,48,18,0,0,1,6
Marijo Strahonja,Croatia,50,22,3,0,1,6
Andris Treimanis,Latvia,40,22,1,1,6,6
Bobby Madden,Scotland,46,21,1,1,3,6
Radu Petrescu,Romania,42,29,0,0,2,6
Manfredas Lukjančukas,Lithuania,33,14,0,0,1,6
Dermot Gallagher,England,68,22,2,0,0,5
Grzegorz Gilewski,Poland,52,14,0,1,0,5
Tony Chapron,France,53,15,0,1,0,5
Fırat Aydınus,Türkiye,51,16,1,0,2,5
Martin Strömbergsson,Sweden,48,16,0,0,0,5
Bartosz Frankowski,Poland,39,21,1,0,1,5
Alejandro Hernández Hernández,Spain,42,14,2,0,2,5
Aliyar Agayev,Azerbaijan,37,24,0,0,1,5
Erik Lambrechts,Belgium,41,11,1,0,1,5
Jim McCluskey,Scotland,0,11,0,0,0,4
Rémy Harrel,France,71,9,0,0,1,4
Sergey Khusainov,Russia,71,10,0,1,0,4
Fabio Baldas,Italy,76,13,0,0,1,4
John Blankenstein,Netherlands,0,10,1,2,0,4
Vasilios Nikakis,Greece,72,8,0,0,2,4
Antonio Martín Navarrete,Spain,76,7,1,0,0,4
Oğuz Sarvan,Türkiye,70,5,0,0,1,4
Fritz Stuchlik,Austria,59,11,2,1,2,4
Michael McCurry,Scotland,61,18,0,0,0,4
Aleksey Nikolaev,Russia,54,13,1,0,0,4
Alan Kelly,Ireland,50,12,0,0,1,4
Antony Gautier,France,47,24,0,0,2,4
Pawel Raczkowski,Poland,42,9,0,0,1,4
Mykola Balakin,Ukraine,36,9,0,0,1,4
Jaap Uilenberg,Netherlands,75,6,0,0,0,3
Angelo Amendolia,Italy,0,7,0,0,0,3
Karl-Josef Assenmacher,Germany,78,3,0,0,1,3
Frans Van Den Wyngaert,Belgium,74,5,0,0,1,3
Philip Don,England,73,22,0,1,2,3
Pierluigi Pairetto,Italy,73,4,1,1,1,3
Georgios Bikas,Greece,70,17,0,1,0,3
Jacek Granat,Poland,59,14,0,0,0,3
Dr. Helmut Fleischer,Germany,61,9,1,0,1,3
Dr. Franz-Xaver Wack,Germany,60,9,0,0,0,3
Cosimo Bolognino,Italy,66,4,0,0,1,3
Darko Ceferin,Slovenia,57,12,0,0,0,3
Thomas Einwaller,Austria,48,11,0,0,0,3
Kevin Blom,Netherlands,51,15,0,1,1,3
Serge Gumienny,Belgium,53,12,0,0,0,3
Robert Schörgenhofer,Austria,52,11,0,1,1,3
Peter Rasmussen,Denmark,50,7,0,0,1,3
Gediminas Mazeika,Lithuania,47,11,0,0,2,3
Ali Palabıyık,Türkiye,44,9,0,0,2,3
Stéphanie Frappart,France,41,8,0,0,3,3
Urs Schnyder,Switzerland,39,18,0,1,4,3
Rohit Saggi,Norway,33,13,0,1,2,3
Roman Steindl,Austria,76,6,1,0,0,2
Charles Agius,Malta,69,8,0,1,0,2
Simo Ruokonen,Finland,0,8,0,0,2,2
Christer Fällström,Sweden,73,0,0,0,0,2
Roger Philippi,Luxembourg,73,3,0,0,0,2
Patrick Kelly,Ireland,0,0,0,0,0,2
Aleksey Spirin,Russia,0,3,0,0,0,2
Bo Jonas Hil Karlsson,Sweden,76,3,0,1,0,2
Aron Schmidhuber,Germany,78,4,0,0,1,2
Keith Burge,Wales,75,0,0,0,0,2
Joël Quiniou,France,75,6,0,0,0,2
Didier Pauchard,France,74,3,1,0,1,2
Zbigniew Przesmycki,Poland,73,13,0,0,0,2
Ilkka Koho,Finland,67,6,1,0,0,2
Jorge Coroado,Portugal,69,3,0,0,0,2
Hans-Jürgen Weber,Germany,70,7,0,0,0,2
Adrian Porumboiu,Romania,75,4,0,0,1,2
Amand Ancion,Belgium,67,11,1,1,4,2
Miroslav Radoman,Serbia,67,7,0,0,0,2
Dick van Egmond,Netherlands,64,4,0,0,0,2
Paulo Costa,Portugal,60,11,1,0,1,2
Michal Benes,Czech Republic,57,8,0,0,0,2
Zeljko Siric,Croatia,64,7,2,1,0,2
Georgios Kasnaferis,Greece,58,13,1,1,0,2
Alon Yefet,Israel,53,7,0,0,0,2
Jaroslav Jara,Czech Republic,61,11,0,0,0,2
Cristian Balaj,Romania,54,6,0,0,0,2
Stefan Johannesson,Sweden,53,7,0,0,0,2
Vladislav Bezborodov,Russia,52,5,0,0,0,2
Pawel Gil,Poland,49,10,0,0,0,2
Mattias Gestranius,Finland,47,9,1,0,0,2
Lawrence Visser,Belgium,35,10,0,0,1,2
Nikola Dabanovic,Montenegro,43,7,0,0,0,2
Giorgi Kruashvili,Georgia,39,7,0,0,0,2
Chris Kavanagh,England,40,9,0,0,0,2
Arie Frost,Israel,77,5,0,0,0,1
Lajos Hartmann,Hungary,78,0,0,0,0,1
Wilfred Wallace,Ireland,0,3,0,0,0,1
Mitko Mitrev,Bulgaria,0,1,0,0,1,1
Léon Schelings,Belgium,75,0,0,1,0,1
Hans Reygwart,Netherlands,76,0,0,0,0,1
Gerald Ashby,England,0,1,0,0,0,1
Rune Larsson,Sweden,73,2,0,0,0,1
Stavros Zakestidis,Greece,0,4,0,0,0,1
Frederick McKnight,Northern Ireland,79,1,0,0,0,1
Jiri Ulrich,Czech Republic,73,1,0,0,0,1
Fortunato Azevedo,Portugal,76,0,0,0,0,1
Erman Toroğlu,Türkiye,76,3,0,0,0,1
Hubert Forstinger,Austria,79,7,0,0,0,1
Alphonse Costantin,Belgium,80,0,0,0,0,1
Arcangelo Pezzella,Italy,77,4,0,0,0,1
Brian Hill,England,78,0,0,0,0,1
Jozef Marko,Slovakia,79,1,0,0,0,1
Eyjölfur Ólafsson,Iceland,72,3,0,0,0,1
Alan Snoddy,Northern Ireland,70,1,0,0,0,1
Andrey Butenko,Russia,71,0,0,0,0,1
Sándor Varga,Hungary,0,0,0,0,0,1
Georgian Ionescu,Romania,47,0,0,0,1,1
Fredy Philippoz,Switzerland,74,3,0,0,0,1
Dimitar Momirov,Bulgaria,74,2,0,0,0,1
Jan Damgaard,Denmark,72,0,0,0,0,1
António Marçal,Portugal,68,0,0,0,0,1
John Purcell,Ireland,76,0,0,0,0,1
Bujar Pregja,Albania,0,0,0,0,0,1
Joseph Timmons,Scotland,0,1,0,0,0,1
Robert Ihring,Slovakia,0,2,0,0,0,1
Eric Blareau,Belgium,66,0,0,1,1,1
Sándor Piller,Hungary,63,6,0,0,0,1
Edgar Steinborn,Germany,68,5,0,0,0,1
Juan Ansuátegui Roca,Spain,69,1,0,0,0,1
Vasyl Melnychuk,Ukraine,68,4,0,0,0,1
Dieter Schoch,Switzerland,62,3,0,1,1,1
Eric Romain,Belgium,66,3,0,0,0,1
Sorin Corpodean,Romania,60,6,0,0,0,1
Rob Styles,England,61,2,0,0,0,1
Nicolai Vollquartz,Denmark,60,3,0,0,0,1
Knut Kircher,Germany,56,4,0,0,1,1
Alexandru Tudor,Romania,54,1,0,0,0,1
Kristinn Jakobsson,Iceland,56,1,0,0,0,1
Nikolay Ivanov,Russia,61,5,0,0,0,1
Claudio Circhetta,Switzerland,54,6,0,1,0,1
Kostas Kapitanis,Cyprus,61,5,0,0,0,1
Bruno Paixão,Portugal,51,4,0,0,1,1
Markus Strömbergsson,Sweden,50,3,0,0,0,1
Marcin Borski,Poland,52,8,0,0,0,1
Stanislav Todorov,Bulgaria,49,5,0,0,1,1
Jakob Kehlet,Denmark,45,4,0,0,0,1
Craig Pawson,England,46,6,0,0,0,1
Patrick Stiller,Germany,31,8,0,0,1,1
António Nobre,Portugal,36,4,0,0,0,1
Morten Krogh,Denmark,37,2,0,0,1,1
Enea Jorgji,Albania,41,7,0,0,0,1
Juan Martínez Munuera,Spain,43,1,0,0,3,1
Harm Osmers,Germany,40,7,0,0,1,1
Nick Walsh,Scotland,34,8,1,0,0,1
Allard Lindhout,Netherlands,38,7,0,1,0,1
Horațiu Feșnic,Romania,35,4,0,0,0,1
Marian Barbu,Romania,37,5,0,0,1,1
Simone Sozza,Italy,38,4,0,0,1,1
Damian Sylwestrzak,Poland,33,6,0,0,1,1
Matej Jug,Slovenia,45,192,7,3,11,40
Aleksandar Stavrev,North Macedonia,48,174,3,4,4,39
Aleksey Kulbakov,Belarus,45,128,1,5,8,36
Ivan Kruzliak,Slovakia,41,184,9,6,7,36
Ivan Bebek,Croatia,48,176,9,2,8,35
Willie Collum,Scotland,46,131,3,5,15,31
Robert Schörgenhofer,Austria,52,110,5,1,5,30
Artur Soares Dias,Portugal,46,107,4,0,11,30
István Vad,Hungary,50,98,3,2,3,29
Vladislav Bezborodov,Russia,52,106,4,4,9,29
Serdar Gözübüyük,Netherlands,39,120,5,4,12,29
Pavel Kralovec,Czech Republic,48,121,5,0,5,27
Alon Yefet,Israel,53,99,1,2,2,27
Gediminas Mazeika,Lithuania,47,100,2,3,4,27
Clément Turpin,France,43,114,2,9,9,27
Felix Zwayer,Germany,44,124,6,3,7,27
Bobby Madden,Scotland,46,105,2,1,7,27
Andris Treimanis,Latvia,40,141,3,1,7,27
Pawel Gil,Poland,49,108,5,2,7,26
Ovidiu Hațegan,Romania,45,124,1,4,6,26
