name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances,league
Glenn Nyberg,Sweden,37,38,0,0,4,14,Champions
Serge Muhmenthaler,Switzerland,72,25,1,1,5,13,Champions
Sándor Puhl,Hungary,0,38,0,1,2,13,Champions
Claude Colombo,France,65,31,0,0,2,13,Champions
Massimo De Santis,Italy,63,53,0,0,2,13,Champions
Yuriy Baskakov,Russia,61,38,1,0,2,13,Champions
Eric Braamhaar,Netherlands,59,44,0,1,3,13,Champions
Pieter Vink,Netherlands,58,46,0,1,0,13,Champions
Srdjan Jovanovic,Serbia,39,45,1,0,2,13,Champions
Marco Guida,Italy,44,40,0,0,5,13,Champions
László Vágner,Hungary,69,39,0,0,3,12,Champions
Paul Durkin,England,70,43,1,1,1,12,Champions
Knud Erik Fisker,Denmark,65,42,2,2,7,12,Champions
Domenico Messina,Italy,63,26,1,0,2,12,Champions
Ivan Bebek,Croatia,48,55,6,2,9,12,Champions
Bas Nijhuis,Netherlands,48,46,0,0,4,12,Champions
Maurizio Mariani,Italy,43,48,1,1,6,12,Champions
Espen Eskås,Norway,37,33,1,0,3,12,Champions
Ion Craciunescu,Romania,75,42,1,0,0,11,Champions
Bernd Heynemann,Germany,71,33,1,1,3,11,Champions
Mario van der Ende,Netherlands,69,41,1,1,0,11,Champions
Vaclav Krondl,Czech Republic,72,48,1,0,1,11,Champions
Piero Ceccarini,Italy,71,31,0,0,3,11,Champions
Alfredo Trentalange,Italy,68,35,1,3,6,11,Champions
Juan Antonio Fernández Marín,Spain,67,43,1,0,6,11,Champions
Stuart Dougal,Scotland,62,30,1,2,1,11,Champions
Paul Allaerts,Belgium,61,23,1,0,2,10,Champions
Steve Bennett,England,64,42,4,2,3,10,Champions
Ruddy Buquet,France,48,40,2,0,3,10,Champions
Georgi Kabakov,Bulgaria,39,45,3,0,1,10,Champions
Leslie Irvine,Northern Ireland,67,14,0,1,0,9,Champions
Leslie Mottram,Scotland,74,27,0,2,2,9,Champions
Vadim Zhuk,Belarus,73,25,1,2,2,9,Champions
Leif Sundell,Sweden,67,20,0,0,1,9,Champions
Marc Batta,France,71,24,0,0,1,9,Champions
Hartmut Strampe,Germany,69,28,2,0,3,9,Champions
Stéphane Bré,France,59,26,0,1,1,9,Champions
Gerd Grabher,Austria,71,26,0,1,1,8,Champions
