name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances,league
Simone Sozza,Italy,38,7,0,2,2,2,Conference
Luca Pairetto,Italy,41,12,0,1,0,2,Conference
Tobias Stieler,Germany,44,11,1,0,0,2,Conference
Marco Guida,Italy,44,6,0,0,1,2,Conference
Lukas Fähndrich,Switzerland,41,9,0,0,0,2,Conference
Oliver Reitala,Finland,31,6,0,0,1,2,Conference
David Dickinson,Scotland,45,10,0,1,0,2,Conference
Rob Hennessy,Ireland,34,10,0,0,1,2,Conference
Andrea Colombo,Italy,35,7,0,0,1,2,Conference
Sigurd Kringstad,Norway,37,8,0,0,0,2,Conference
Ishmael Barbara,Malta,0,5,0,1,0,2,Conference
Aleksandrs Anufrijevs,Latvia,41,4,0,0,0,1,Conference
Kateryna Monzul,Ukraine,44,1,0,0,1,1,Conference
Stuart Attwell,England,43,3,0,0,1,1,Conference
Kai Erik Steen,Norway,40,11,0,0,0,1,Conference
Mattias Gestranius,Finland,47,10,0,1,0,1,Conference
Michael Fabbri,Italy,41,4,0,0,1,1,Conference
Kirill Levnikov,Russia,41,5,0,0,0,1,Conference
Jens Maae,Denmark,43,2,0,0,0,1,Conference
Volen Chinkov,Bulgaria,41,2,0,0,1,1,Conference
Vilhjálmur Alvar Thórarinsson,Iceland,40,4,0,0,0,1,Conference
Alain Durieux,Luxembourg,40,5,0,0,0,1,Conference
Kristoffer Karlsson,Sweden,0,4,0,0,0,1,Conference
Vitaliy Meshkov,Russia,42,4,0,0,0,1,Conference
Kári Jóannesarson á Hövdanum,Faroe Islands,35,4,0,0,0,1,Conference
Helgi Mikael Jónasson,Iceland,31,3,0,0,0,1,Conference
Kaspar Sjöberg,Sweden,38,3,0,0,0,1,Conference
Sergey Ivanov,Russia,41,4,0,0,0,1,Conference
Deniz Aytekin,Germany,47,2,0,1,0,1,Conference
Szymon Marciniak,Poland,44,5,1,0,0,1,Conference
Danny Makkelie,Netherlands,42,2,0,0,0,1,Conference
Srdjan Jovanovic,Serbia,39,4,0,0,0,1,Conference
Ivan Bebek,Croatia,48,6,0,0,1,1,Conference
Mads-Kristoffer Kristoffersen,Denmark,42,4,0,0,0,1,Conference
Joni Hyytiä,Finland,37,4,0,0,1,1,Conference
Jochem Kamphuis,Netherlands,39,2,0,0,0,1,Conference
Ruddy Buquet,France,48,3,0,0,1,1,Conference
Darren England,England,39,6,0,0,0,1,Conference
Nathan Verboomen,Belgium,37,1,0,0,0,1,Conference
Roi Reinshreiber,Israel,45,8,0,0,0,1,Conference
Andrew Madley,England,42,2,0,0,0,1,Conference
César Soto Grado,Spain,0,2,0,0,0,1,Conference
Ívar Orri Kristjánsson,Iceland,36,3,0,0,0,1,Conference
José Luis Munuera Montero,Spain,42,6,0,0,0,1,Conference
Rauf Cabarov,Azerbaijan,40,3,0,0,0,1,Conference
Gal Leibovich,Israel,39,5,0,0,0,1,Conference
Mateu Lahoz,Spain,48,5,0,0,0,1,Conference
Abdulkadir Bitigen,Türkiye,41,6,0,0,1,1,Conference
Robertas Valikonis,Lithuania,42,2,0,0,1,1,Conference
Tomas Klima,Czech Republic,37,8,0,0,0,1,Conference
David Fucsman,Israel,34,2,1,0,0,1,Conference
Andrei Chivulete,Romania,38,5,0,0,0,1,Conference
Robert Schröder,Germany,40,6,0,0,1,1,Conference
Viktor Kopiyevskyi,Ukraine,34,4,0,0,1,1,Conference
Pierre Gaillouste,France,36,1,0,0,0,1,Conference
Miguel Nogueira,Portugal,31,1,0,0,0,1,Conference
Ashot Ghaltakhchyan,Armenia,33,4,0,0,1,1,Conference
Henrik Nalbandyan,Armenia,30,5,0,1,1,1,Conference
Antoni Bandic,Bosnia-Herzegovina,35,1,0,0,0,1,Conference
Mikkel Redder,Denmark,31,3,0,0,1,1,Conference
Menelaos Antoniou,Cyprus,30,2,0,0,0,1,Conference
Jasper Vergoote,Belgium,33,2,0,0,0,1,Conference
Sayat Karabaev,Kazakhstan,32,7,0,1,1,1,Conference
Daniyar Sakhi,Kazakhstan,34,3,0,0,0,1,Conference
Jan Petrik,Czech Republic,33,3,0,0,0,1,Conference
Javier Alberola Rojas,Spain,0,5,0,0,0,1,Conference
Bulat Sariev,Kazakhstan,34,4,0,0,0,1,Conference
Snir Levi,Israel,0,2,0,0,0,1,Conference
Stefan Ebner,Austria,34,4,0,0,0,1,Conference
Patrik Kolaric,Croatia,30,4,0,0,0,1,Conference
Jakob Sundberg,Denmark,36,7,0,1,0,1,Conference
Kristoffer Hagenes,Norway,35,1,0,0,0,1,Conference
Alejandro Hernández Hernández,Spain,42,2,0,0,1,1,Conference
Florian Badstübner,Germany,34,4,0,0,0,1,Conference
Igor Stojchevski,North Macedonia,36,4,0,1,0,1,Conference
Matej Jug,Slovenia,45,192,7,3,11,40,Europa
Aleksandar Stavrev,North Macedonia,48,174,3,4,4,39,Europa
Aleksey Kulbakov,Belarus,45,128,1,5,8,36,Europa
Ivan Kruzliak,Slovakia,41,184,9,6,7,36,Europa
Ivan Bebek,Croatia,48,176,9,2,8,35,Europa
Willie Collum,Scotland,46,131,3,5,15,31,Europa
Robert Schörgenhofer,Austria,52,110,5,1,5,30,Europa
Artur Soares Dias,Portugal,46,107,4,0,11,30,Europa
István Vad,Hungary,50,98,3,2,3,29,Europa
Vladislav Bezborodov,Russia,52,106,4,4,9,29,Europa
Serdar Gözübüyük,Netherlands,39,120,5,4,12,29,Europa
Pavel Kralovec,Czech Republic,48,121,5,0,5,27,Europa
Alon Yefet,Israel,53,99,1,2,2,27,Europa
Gediminas Mazeika,Lithuania,47,100,2,3,4,27,Europa
Clément Turpin,France,43,114,2,9,9,27,Europa
Felix Zwayer,Germany,44,124,6,3,7,27,Europa
Bobby Madden,Scotland,46,105,2,1,7,27,Europa
Andris Treimanis,Latvia,40,141,3,1,7,27,Europa
Pawel Gil,Poland,49,108,5,2,7,26,Europa
Ovidiu Hațegan,Romania,45,124,1,4,6,26,Europa
Mateu Lahoz,Spain,48,109,2,1,7,26,Europa
Anastasios Sidiropoulos,Greece,46,110,3,3,7,26,Europa
Kevin Blom,Netherlands,51,96,1,6,8,25,Europa
Michael Oliver,England,40,98,1,2,9,25,Europa
Alexandru Tudor,Romania,54,121,5,0,2,24,Europa
Stefan Johannesson,Sweden,53,96,5,0,6,24,Europa
Hüseyin Göçek,Türkiye,48,88,4,0,2,24,Europa
Harald Lechner,Austria,43,97,3,0,4,24,Europa
Sergiy Boyko,Ukraine,48,98,2,4,8,24,Europa
Tobias Stieler,Germany,44,114,5,0,5,24,Europa
Bas Nijhuis,Netherlands,48,99,3,2,3,23,Europa
Jorge Sousa,Portugal,50,102,3,2,5,23,Europa
Ruddy Buquet,France,48,103,2,1,6,23,Europa
Anthony Taylor,England,46,96,4,7,6,23,Europa
Benoît Bastien,France,42,93,6,6,11,23,Europa
Craig Pawson,England,46,108,3,0,5,23,Europa
Jakob Kehlet,Denmark,45,92,1,1,9,23,Europa
Luca Banti,Italy,51,77,1,2,5,22,Europa
Sergey Karasev,Russia,46,107,3,3,13,22,Europa
Kristo Tohver,Estonia,44,117,4,2,9,22,Europa
Yevgen Aranovskyi,Ukraine,49,95,8,0,3,22,Europa
Slavko Vincic,Slovenia,45,92,0,3,3,22,Europa
Pawel Raczkowski,Poland,42,107,3,0,11,22,Europa
Istvan Kovacs,Romania,41,95,3,3,5,22,Europa
Tamás Bognár,Hungary,46,101,4,3,6,22,Europa
Orel Grinfeld,Israel,44,95,4,2,4,22,Europa
Sandro Schärer,Switzerland,37,90,4,1,9,22,Europa
Nikola Dabanovic,Montenegro,43,76,0,2,6,22,Europa
Serge Gumienny,Belgium,53,98,5,4,7,21,Europa
Halis Özkahya,Türkiye,45,66,4,1,2,21,Europa
Liran Liany,Israel,48,82,0,2,4,21,Europa
John Beaton,Scotland,43,96,2,0,7,21,Europa
Cüneyt Çakır,Türkiye,48,72,1,2,8,20,Europa
Tony Chapron,France,53,86,1,3,10,20,Europa
Milorad Mazic,Serbia,52,115,1,3,8,20,Europa
Daniel Siebert,Germany,41,98,3,2,4,20,Europa
Gianluca Rocchi,Italy,52,79,4,1,5,19,Europa
Kristinn Jakobsson,Iceland,56,59,0,3,2,19,Europa
Damir Skomina,Slovenia,49,93,0,2,3,19,Europa
Björn Kuipers,Netherlands,52,80,2,3,3,19,Europa
Deniz Aytekin,Germany,47,91,4,2,7,19,Europa
Miroslav Zelinka,Czech Republic,44,92,2,2,2,19,Europa
Szymon Marciniak,Poland,44,92,5,3,10,19,Europa
Jesús Gil Manzano,Spain,41,74,1,2,4,19,Europa
Daniel Stefanski,Poland,48,89,2,2,8,19,Europa
Paolo Tagliavento,Italy,53,74,4,2,7,18,Europa
Manuel Gräfe,Germany,52,95,3,3,8,18,Europa
Danny Makkelie,Netherlands,42,70,3,1,5,18,Europa
Andreas Ekberg,Sweden,40,57,3,1,4,18,Europa
Aliyar Agayev,Azerbaijan,37,68,4,0,8,18,Europa
Davide Massa,Italy,44,78,1,0,3,18,Europa
Srdjan Jovanovic,Serbia,39,70,2,1,6,18,Europa
Irfan Peljto,Bosnia-Herzegovina,41,71,4,1,6,18,Europa
José María Sánchez Martínez,Spain,42,80,2,1,7,18,Europa
Martin Atkinson,England,54,86,1,1,5,17,Europa
Jonas Eriksson,Sweden,51,74,3,2,4,17,Europa
Mattias Gestranius,Finland,47,67,4,1,4,17,Europa
François Letexier,France,36,62,3,3,8,17,Europa
Svein Oddvar Moen,Norway,46,52,2,1,4,16,Europa
Simon Lee Evans,Wales,50,83,2,2,3,16,Europa
Marijo Strahonja,Croatia,50,83,4,1,3,16,Europa
Michalis Koukoulakis,Greece,50,77,1,1,1,16,Europa
Daniele Orsato,Italy,49,69,1,3,6,16,Europa
Radu Petrescu,Romania,42,56,1,2,2,16,Europa
Georgi Kabakov,Bulgaria,39,100,2,0,5,16,Europa
Undiano Mallenco,Spain,52,37,0,0,0,15,Europa
Estrada Fernández,Spain,49,64,3,1,6,15,Europa
Aleksey Eskov,Russia,47,57,1,3,4,15,Europa
Carlos del Cerro Grande,Spain,49,65,1,0,4,15,Europa
Mike Dean,England,57,72,3,4,3,14,Europa
Cristian Balaj,Romania,54,54,3,0,2,14,Europa
Florian Meyer,Germany,56,51,1,1,1,14,Europa
Craig Thomson,Scotland,53,56,1,2,2,14,Europa
Marcin Borski,Poland,52,73,3,2,5,14,Europa
Halil Umut Meler,Türkiye,39,42,0,2,2,14,Europa
Jérôme Brisard,France,39,70,3,0,4,14,Europa
Libor Kovarik,Czech Republic,49,62,1,1,2,13,Europa
Mark Clattenburg,England,50,62,2,2,1,13,Europa
Sébastien Delferière,Belgium,44,46,1,2,0,13,Europa
Tiago Martins,Portugal,45,71,3,2,6,13,Europa
Lawrence Visser,Belgium,35,60,3,0,3,13,Europa
Alan Kelly,Ireland,50,55,2,2,2,12,Europa
Andre Marriner,England,54,53,3,3,1,12,Europa
Pol van Boekel,Netherlands,50,47,0,0,5,12,Europa
Roi Reinshreiber,Israel,45,56,1,0,1,12,Europa
Filip Glova,Slovakia,37,41,0,1,0,12,Europa
Mohammed Al-Hakim,Sweden,40,35,0,1,4,12,Europa
Carlos Velasco Carballo,Spain,54,51,0,0,3,11,Europa
Hannes Kaasik,Estonia,47,39,0,3,0,11,Europa
Viktor Kassai,Hungary,50,69,3,1,1,11,Europa
Anastasios Kakos,Greece,55,41,2,1,0,11,Europa
Martin Hansson,Sweden,54,32,1,1,0,11,Europa
Stephan Studer,Switzerland,50,47,1,1,2,11,Europa
David Fernández Borbalán,Spain,52,40,1,1,2,11,Europa
Ali Palabıyık,Türkiye,44,40,1,0,2,11,Europa
Marco Guida,Italy,44,36,0,1,6,11,Europa
Alejandro Hernández Hernández,Spain,42,47,1,1,3,11,Europa
Giorgi Kruashvili,Georgia,39,38,0,1,1,11,Europa
Laurent Duhamel,France,57,24,1,0,3,10,Europa
Dr. Felix Brych,Germany,50,43,1,0,2,10,Europa
Leontios Trattou,Cyprus,52,34,0,0,7,10,Europa
Carlos Clos Gómez,Spain,53,44,3,2,3,10,Europa
Tom Harald Hagen,Norway,49,43,0,0,4,10,Europa
Paolo Silvio Mazzoleni,Italy,51,41,0,0,1,10,Europa
Enea Jorgji,Albania,41,42,2,3,6,10,Europa
Donatas Rumšas,Lithuania,37,40,1,3,2,10,Europa
João Pinheiro,Portugal,37,32,1,0,5,10,Europa
Aleksey Nikolaev,Russia,54,37,0,0,0,9,Europa
Duarte Gomes,Portugal,52,39,1,0,2,9,Europa
Antony Gautier,France,47,37,2,2,3,9,Europa
Bartosz Frankowski,Poland,39,29,1,0,3,9,Europa
Sascha Stegemann,Germany,40,63,4,0,4,9,Europa
Glenn Nyberg,Sweden,37,37,1,1,1,9,Europa
Harm Osmers,Germany,40,47,0,0,3,9,Europa
Tommy Skjerven,Norway,58,23,0,1,1,8,Europa
Sascha Kever,Switzerland,50,34,1,0,3,8,Europa
Zsolt Szabó,Hungary,53,33,2,0,5,8,Europa
Eric Braamhaar,Netherlands,59,34,0,1,2,8,Europa
Kenn Hansen,Denmark,45,29,3,1,1,8,Europa
Anastasios Papapetrou,Greece,40,30,0,1,0,8,Europa
Chris Kavanagh,England,40,52,0,1,3,8,Europa
Espen Eskås,Norway,37,43,0,1,1,8,Europa
Duje Strukan,Croatia,41,42,2,1,3,8,Europa
Maurizio Mariani,Italy,43,28,1,0,1,8,Europa
Bruno Paixão,Portugal,51,31,3,0,3,7,Europa
Tony Asumaa,Finland,57,24,0,0,0,7,Europa
Peter Rasmussen,Denmark,50,29,1,0,2,7,Europa
Thomas Einwaller,Austria,48,28,1,0,1,7,Europa
Said Ennjimi,France,52,35,0,0,3,7,Europa
Pedro Proença,Portugal,54,35,0,1,1,7,Europa
Fernando Teixeira Vitienes,Spain,54,16,0,0,2,7,Europa
Bülent Yıldırım,Türkiye,53,16,0,0,3,7,Europa
Wolfgang Stark,Germany,55,31,2,0,2,7,Europa
Manuel Schüttengruber,Austria,42,31,1,0,1,7,Europa
Sergey Ivanov,Russia,41,28,0,0,3,7,Europa
Marco Di Bello,Italy,44,33,0,0,3,7,Europa
De Burgos Bengoetxea,Spain,39,21,1,0,3,7,Europa
Rade Obrenovic,Slovenia,35,32,0,0,1,7,Europa
Horațiu Feșnic,Romania,35,33,1,0,2,7,Europa
Morten Krogh,Denmark,37,20,1,0,4,7,Europa
Simone Sozza,Italy,38,36,0,1,4,7,Europa
Knut Kircher,Germany,56,23,0,2,2,6,Europa
Robert Małek,Poland,54,14,0,2,0,6,Europa
Claudio Circhetta,Switzerland,54,28,0,0,3,6,Europa
Nicola Rizzoli,Italy,54,26,1,0,2,6,Europa
Mark Courtney,Northern Ireland,53,26,1,0,0,6,Europa
Fredy Fautrel,France,53,27,1,2,3,6,Europa
Stanislav Todorov,Bulgaria,49,27,1,1,2,6,Europa
Martin Strömbergsson,Sweden,48,11,0,0,1,6,Europa
Arnold Hunter,Northern Ireland,46,25,0,0,2,6,Europa
Fábio Veríssimo,Portugal,42,18,0,0,1,6,Europa
Fran Jovic,Croatia,41,20,0,1,1,6,Europa
Stéphanie Frappart,France,41,27,0,1,4,6,Europa
Erik Lambrechts,Belgium,41,25,0,0,2,6,Europa
Nick Walsh,Scotland,34,35,4,2,1,6,Europa
Sebastian Gishamer,Austria,37,23,1,0,1,6,Europa
Martin Ingvarsson,Sweden,59,14,0,0,2,5,Europa
Darko Ceferin,Slovenia,57,21,0,1,1,5,Europa
Douglas McDonald,Scotland,60,29,1,0,1,5,Europa
César Muñiz Fernández,Spain,55,25,0,0,2,5,Europa
Eduardo Iturralde González,Spain,58,24,1,0,4,5,Europa
Maksim Layushkin,Russia,53,16,1,1,0,5,Europa
Markus Strömbergsson,Sweden,50,26,1,1,2,5,Europa
Fırat Aydınus,Türkiye,51,21,0,3,3,5,Europa
Stephan Klossner,Switzerland,44,20,0,0,1,5,Europa
Mag. Oliver Drachta,Austria,48,16,0,1,0,5,Europa
Kevin Clancy,Scotland,41,16,0,0,2,5,Europa
Allard Lindhout,Netherlands,38,20,0,0,2,5,Europa
Igor Pajac,Croatia,40,12,0,0,0,5,Europa
Juxhin Xhaja,Albania,35,21,0,2,1,5,Europa
Julian Weinberger,Austria,40,18,1,0,2,5,Europa
Luís Godinho,Portugal,39,16,0,0,0,5,Europa
Nenad Minakovic,Serbia,36,16,1,0,2,5,Europa
Michael Weiner,Germany,56,12,1,0,0,4,Europa
Terje Hauge,Norway,60,15,0,0,1,4,Europa
Pieter Vink,Netherlands,58,17,1,1,0,4,Europa
Daniel Stalhammar,Sweden,50,18,0,5,1,4,Europa
Antti Munukka,Finland,43,10,0,0,0,4,Europa
Antonio Damato,Italy,53,16,1,0,0,4,Europa
Menashe Mashiah,Israel,51,14,1,2,1,4,Europa
Stéphane Lannoy,France,56,18,0,0,1,4,Europa
Clayton Pisani,Malta,47,10,2,0,2,4,Europa
Tobias Welz,Germany,48,21,0,2,4,4,Europa
Bart Vertenten,Belgium,37,11,0,0,3,4,Europa
Andrew Dallas,Scotland,42,13,0,0,0,4,Europa
Petr Ardeleanu,Czech Republic,44,22,2,0,1,4,Europa
Rohit Saggi,Norway,33,21,2,0,1,4,Europa
Mykola Balakin,Ukraine,36,15,0,0,2,4,Europa
António Nobre,Portugal,36,11,0,0,1,4,Europa
John Brooks,England,0,11,0,0,0,4,Europa
Manfredas Lukjančukas,Lithuania,33,17,3,0,3,4,Europa
Marian Barbu,Romania,37,13,0,0,0,4,Europa
Vladimir Hrinak,Slovakia,0,8,0,0,1,3,Europa
Kostas Kapitanis,Cyprus,61,9,1,1,0,3,Europa
Paul Allaerts,Belgium,61,9,0,1,1,3,Europa
Selçuk Dereli,Türkiye,56,13,2,0,0,3,Europa
Claus Bo Larsen,Denmark,59,13,0,0,0,3,Europa
Alexandru Deaconu,Romania,53,13,0,0,0,3,Europa
Lee Probert,England,53,17,3,0,1,3,Europa
Olegário Benquerença,Portugal,55,18,0,1,0,3,Europa
Eitan Shmuelevic,Israel,47,13,0,0,0,3,Europa
Steven McLean,Scotland,44,7,0,0,0,3,Europa
Ognjen Valjic,Bosnia-Herzegovina,44,9,2,0,1,3,Europa
Vitaliy Meshkov,Russia,42,13,0,1,3,3,Europa
Ola Hobber Nilsen,Norway,39,12,0,0,1,3,Europa
Mads-Kristoffer Kristoffersen,Denmark,42,10,1,0,0,3,Europa
Pavel Orel,Czech Republic,37,13,1,0,1,3,Europa
Urs Schnyder,Switzerland,39,7,1,0,1,3,Europa
Willy Delajod,France,33,10,0,1,1,3,Europa
Damian Sylwestrzak,Poland,33,16,0,0,0,3,Europa
Sven Jablonski,Germany,35,14,0,0,0,3,Europa
Oleg Orekhov,Ukraine,58,3,0,0,1,2,Europa
Nikolay Ivanov,Russia,61,5,0,0,0,2,Europa
Espen Berntsen,Norway,58,6,0,0,0,2,Europa
Cyril Zimmermann,Switzerland,49,2,0,0,0,2,Europa
Nicolai Vollquartz,Denmark,60,2,0,0,0,2,Europa
Thorsten Kinhöfer,Germany,57,4,0,0,0,2,Europa
Stanislav Sukhina,Russia,57,7,0,0,0,2,Europa
Howard Webb,England,54,9,2,1,0,2,Europa
Stuart Attwell,England,43,17,1,0,0,2,Europa
Emir Aleckovic,Bosnia-Herzegovina,46,7,0,0,0,2,Europa
Artem Kuchin,Kazakhstan,47,9,0,0,1,2,Europa
Marius Avram,Romania,46,9,0,0,0,2,Europa
Christian Dingert,Germany,45,10,0,1,2,2,Europa
Adrien Jaccottet,Switzerland,42,11,0,0,2,2,Europa
Jonathan Lardot,Belgium,41,9,1,0,1,2,Europa
Jens Maae,Denmark,43,1,0,0,0,2,Europa
Dennis Higler,Netherlands,40,7,0,0,0,2,Europa
Vilhjálmur Alvar Thórarinsson,Iceland,40,7,0,0,0,2,Europa
Kirill Levnikov,Russia,41,10,0,0,0,2,Europa
Paul Tierney,England,44,6,0,0,0,2,Europa
Kateryna Monzul,Ukraine,44,17,0,0,0,2,Europa
Fabio Maresca,Italy,44,10,0,1,1,2,Europa
Atilla Karaoğlan,Türkiye,39,12,0,0,2,2,Europa
Ondrej Berka,Czech Republic,37,11,0,0,0,2,Europa
Balázs Berke,Hungary,41,7,1,1,0,2,Europa
Guillermo Cuadra Fernández,Spain,41,11,0,0,2,2,Europa
Matteo Trefoloni,Italy,54,3,0,0,0,1,Europa
Lucílio Baptista,Portugal,60,3,0,0,0,1,Europa
Georgios Daloukas,Greece,47,2,0,0,0,1,Europa
Jiri Jech,Czech Republic,49,4,0,0,1,1,Europa
José Antonio Teixeira Vitienes,Spain,55,3,0,0,0,1,Europa
Anton Genov,Bulgaria,59,3,0,0,0,1,Europa
Paolo Valeri,Italy,47,7,1,0,0,1,Europa
Rene Eisner,Austria,50,5,0,0,0,1,Europa
Ilias Spathas,Greece,45,2,0,0,0,1,Europa
Sergey Lapochkin,Russia,44,4,0,0,0,1,Europa
Hugo Miguel,Portugal,48,1,0,0,0,1,Europa
Mete Kalkavan,Türkiye,46,6,1,0,0,1,Europa
Charalampos Kalogeropoulos,Greece,42,1,0,0,0,1,Europa
Peter Kralovic,Slovakia,42,2,0,0,0,1,Europa
Alain Bieri,Switzerland,46,3,0,0,0,1,Europa
Ville Nevalainen,Finland,40,3,0,0,0,1,Europa
Juan Martínez Munuera,Spain,43,6,0,0,0,1,Europa
Benoît Millot,France,43,5,1,0,1,1,Europa
Ivaylo Stoyanov,Bulgaria,44,5,0,0,0,1,Europa
Ádám Farkas,Hungary,43,6,0,0,0,1,Europa
Dumitru Muntean,Moldova,40,3,0,0,1,1,Europa
Karim Abed,France,36,3,0,0,0,1,Europa
Alain Durieux,Luxembourg,40,5,0,0,0,1,Europa
Robert Harvey,Ireland,37,7,0,0,1,1,Europa
Massimiliano Irrati,Italy,46,5,0,0,0,1,Europa
Petri Viljanen,Finland,38,1,0,0,1,1,Europa
Trustin Farrugia Cann,Malta,39,7,0,0,2,1,Europa
Michael Fabbri,Italy,41,6,0,0,0,1,Europa
Rob Hennessy,Ireland,34,3,0,0,1,1,Europa
Amaury Delerue,France,48,4,1,0,0,1,Europa
Bojan Pandzic,Sweden,43,4,0,0,1,1,Europa
Novak Simovic,Serbia,43,5,0,0,0,1,Europa
Christian-Petru Ciochirca,Austria,36,6,0,0,1,1,Europa
Robert Jones,England,38,2,0,0,0,1,Europa
Don Robertson,Scotland,38,2,0,0,0,1,Europa
Vasilios Fotias,Greece,36,1,0,0,0,1,Europa
Sander van der Eijk,Netherlands,34,5,1,0,0,1,Europa
